127.0.0.1, 2014-06-24 19:16:41, GET, /AssignmentPortal/static/images/gplus-32.png, HTTP/1.1, 200, 0.000980
127.0.0.1, 2014-06-24 19:16:41, GET, /AssignmentPortal/static/images/twitter.png, HTTP/1.1, 200, 0.000662
127.0.0.1, 2014-06-24 19:16:41, GET, /AssignmentPortal/static/images/facebook.png, HTTP/1.1, 200, 0.001938
127.0.0.1, 2014-06-24 19:16:41, GET, /AssignmentPortal/static/images/favicon.ico, HTTP/1.1, 200, 0.000496
127.0.0.1, 2014-06-24 19:16:44, GET, /AssignmentPortal/default/autoAssignment, HTTP/1.1, 200, 0.535955
127.0.0.1, 2014-06-24 19:21:57, GET, /, HTTP/1.1, 303, 0.002724
127.0.0.1, 2014-06-24 19:21:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.170153
127.0.0.1, 2014-06-24 19:22:01, GET, /admin/default/index, HTTP/1.1, 303, 0.362068
127.0.0.1, 2014-06-24 19:22:01, GET, /admin/default/site, HTTP/1.1, 200, 0.060469
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/default/index, HTTP/1.1, 200, 0.202124
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000391
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/jquery.js, HTTP/1.1, 304, 0.000527
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/web2py.js, HTTP/1.1, 304, 0.000781
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/css/calendar.css, HTTP/1.1, 304, 0.000348
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/calendar.js, HTTP/1.1, 304, 0.000701
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000342
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/css/web2py.css, HTTP/1.1, 304, 0.000370
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000530
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000487
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000672
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/share.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001284
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/images/facebook.png, HTTP/1.1, 304, 0.000767
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/images/gplus-32.png, HTTP/1.1, 304, 0.000560
127.0.0.1, 2014-06-24 19:22:03, GET, /AssignmentPortal/static/images/twitter.png, HTTP/1.1, 304, 0.001452
127.0.0.1, 2014-06-24 19:22:05, GET, /AssignmentPortal/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000361
127.0.0.1, 2014-06-24 19:22:05, GET, /AssignmentPortal/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000579
